Code,Name,Note
ML,mL,แนะนำสำหรับยาน้ำรับประทาน
TSP,ช้อนชา,ใช้เมื่อจำเป็น
TBSP,ช้อนโต๊ะ,ใช้เมื่อจำเป็น
CC,ซีซี,ใช้เมื่อจำเป็น
DROP,หยด,สำหรับยาหยอด
PUFF,พัฟ,สำหรับยาพ่น
